Ramez Elmasri	books/bc/ElmasriN89
Shamkant B. Navathe	books/bc/ElmasriN89
Ramez Elmasri	books/bc/ElmasriN94
Shamkant B. Navathe	books/bc/ElmasriN94
Charles N. Fischer	books/bc/FischerL1991
Richard J. LeBlanc	books/bc/FischerL1991
Vipin Kumar	books/bc/KumarGGK94
Ananth Grama	books/bc/KumarGGK94
Anshul Gupta	books/bc/KumarGGK94
George Karypis	books/bc/KumarGGK94
David Maier	books/bc/MaierW88
David Scott Warren	books/bc/MaierW88
Jürgen Albert	books/bi/AlbertO1983
Thomas Ottmann	books/bi/AlbertO1983
Wolfgang Everling	books/bi/Everling1990
Wolfgang Everling	books/bi/Everling1993
Dieter W. Fellner	books/bi/Fellner1988
Dieter W. Fellner	books/bi/Fellner1992
Joachim Hertzberg	books/bi/Hertzberg1989
Patrick Horster	books/bi/Horster1985
Peter Kandzia	books/bi/KandziaK1993
Hans-Joachim Klein	books/bi/KandziaK1993
Franz-Joachim Kauffels	books/bi/Kauffels1987
Daniel A. Keim	books/bi/KeimP1992
Edy S. Prawirohardjo	books/bi/KeimP1992
Udo Kelter	books/bi/Kelter1985
Otto Mayer	books/bi/Maier1986
Michael Mock	books/bi/Mock1990
Thomas Ottmann	books/bi/OttmannW1990
Peter Widmayer	books/bi/OttmannW1990
Thomas Ottmann	books/bi/OttmannW1993
Peter Widmayer	books/bi/OttmannW1993
Peter Schefe	books/bi/Schefe1986
Ralf Schneider	books/bi/Schneider1993
Uwe Schöning	books/bi/Schoning1987
Uwe Schöning	books/bi/Schoning1989
Uwe Schöning	books/bi/Schoning1992
Franz Stetter	books/bi/Stetter1984
Franz Stetter	books/bi/Stetter1987
Heinz Waller	books/bi/WallerH1985
Peter Hilgers	books/bi/WallerH1985
Hartmut Wedekind	books/bi/Wedekind1992
Hartmut Wedekind	books/bi/WedekindH1974
Theo Härder	books/bi/WedekindH1974
Hartmut Wedekind	books/bi/WedekindH1976
Theo Härder	books/bi/WedekindH1976
Hartmut Wedekind	books/bi/WedekindH1981
Theo Härder	books/bi/WedekindH1981
Hartmut Wedekind	books/bi/WedekindH1991
Theo Härder	books/bi/WedekindH1991
Hans P. Zima	books/bi/Zima1982
Hans P. Zima	books/bi/Zima1983
Hans P. Zima	books/bi/Zima1986
Hans P. Zima	books/bi/Zima1988
C. J. van Rijsbergen	books/bu/Rijsbergen79
C. Robert Morgan	books/bu/Morgan1998
Richard A. Frost	books/collins/Frost86
Sanjeev Kumar Aggarwal	books/crc/CRCcompiler2002/AggarwalK02
M. Sarath Kumar	books/crc/CRCcompiler2002/AggarwalK02
Vicki H. Allan	books/crc/CRCcompiler2002/AllanA02
Stephen J. Allan	books/crc/CRCcompiler2002/AllanA02
Alok N. Choudhary	books/crc/CRCcompiler2002/ChoudharyK02
Mahmut T. Kandemir	books/crc/CRCcompiler2002/ChoudharyK02
Evelyn Duesterwald	books/crc/CRCcompiler2002/Duesterwald02
K. Gopinath	books/crc/CRCcompiler2002/Gopinath02
Ramaswamy Govindarajan	books/crc/CRCcompiler2002/Govindarajan02
Rajiv Gupta	books/crc/CRCcompiler2002/GuptaG02
Neelam Gupta	books/crc/CRCcompiler2002/GuptaG02
Rajiv Gupta	books/crc/CRCcompiler2002/GuptaMZ02
Eduard Mehofer	books/crc/CRCcompiler2002/GuptaMZ02
Youtao Zhang	books/crc/CRCcompiler2002/GuptaMZ02
Uday P. Khedker	books/crc/CRCcompiler2002/Khedker02
Andreas Krall	books/crc/CRCcompiler2002/KrallH02
R. Nigel Horspool	books/crc/CRCcompiler2002/KrallH02
G. B. Mund	books/crc/CRCcompiler2002/MundGM02
Diganta Goswami	books/crc/CRCcompiler2002/MundGM02
Rajib Mall	books/crc/CRCcompiler2002/MundGM02
Vineeth Kumar Paleri	books/crc/CRCcompiler2002/Paleri02
Sanjiva Prasad	books/crc/CRCcompiler2002/PrasadA02
S. Arun-Kumar	books/crc/CRCcompiler2002/PrasadA02
Wei Qin	books/crc/CRCcompiler2002/QinM02
Sharad Malik	books/crc/CRCcompiler2002/QinM02
Subramanian Rajagopalan	books/crc/CRCcompiler2002/RajagopalanM02
Sharad Malik	books/crc/CRCcompiler2002/RajagopalanM02
Sanjay V. Rajopadhye	books/crc/CRCcompiler2002/Rajopadhye02
J. Ramanujam	books/crc/CRCcompiler2002/Ramanujam02
Priti Shankar	books/crc/CRCcompiler2002/Shankar02
Y. N. Srikant	books/crc/CRCcompiler2002/Srikant02
Ramesh Subrahmanyam	books/crc/CRCcompiler2002/Subrahmanyam02
R. Venugopal	books/crc/CRCcompiler2002/VenugopalK02
Ravindra B. Keskar	books/crc/CRCcompiler2002/VenugopalK02
